Game result,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
4th (53),4:09,15,-1,2,3,15,9,0,10,3,2,2,16,16,9,no,14,4,3,1,4,1,2,1
5th (49),3:39,9,-2,4,10,28,0,0,0,3,1,0,6,10,6,yes,3,5,0,0,3,3,2,1
6th (48),3:40,14,-1,10,3,12,1,9,0,3,2,2,12,14,9,no,9,3,0,0,4,4,1,3
7th (44),3:04,0,-6,3,13,22,1,8,3,3,0,3,16,6,3,no,8,5,1,1,1,5,2,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),4:37,12,-2,6,10,17,0,4,16,3,0,0,11,15,5,no,12,3,0,2,3,3,4,0
2nd (62),3:50,0,-5,4,3,0,47,6,7,3,3,3,16,12,0,no,9,0,8,1,0,1,1,3
3rd (59),4:11,11,-2,4,7,17,0,6,16,2,0,2,17,9,4,no,11,4,0,3,1,4,4,0
4th (58),5:11,13,-1,2,3,9,18,0,14,2,0,2,9,14,4,no,14,2,5,2,3,3,3,0
5th (50),3:27,12,-2,7,5,28,0,0,0,2,0,1,2,12,8,no,10,6,0,0,4,2,2,2
6th (50),7:04,13,-2,5,13,18,0,3,0,3,3,3,14,8,8,no,8,4,0,0,3,3,2,0
6th (50),4:36,0,-5,5,7,17,26,0,0,3,0,2,14,13,3,no,13,3,6,0,1,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (58),4:01,13,-2,5,10,13,16,3,0,3,0,5,15,7,8,no,12,3,5,0,3,2,2,0
2nd (54),3:26,0,-5,6,3,0,50,0,0,3,0,3,5,10,0,no,14,0,9,1,0,3,3,2
3rd (54),4:59,11,-2,1,3,21,10,3,7,3,0,4,12,10,8,no,9,5,2,1,4,3,1,1
