Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
5,48,4:09,12,-2,3,3,19,10,3,0,3,0,1,6,6,10,no,9,4,1,1,5,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,4:16,0,-5,4,2,0,62,3,0,1,0,5,5,8,0,no,14,0,11,0,0,3,3,1
2,61,5:14,17,0,2,5,22,0,2,13,3,1,2,9,9,8,no,10,5,0,1,4,1,2,1
3,49,3:44,18,0,3,3,16,1,2,6,2,3,2,12,0,7,no,9,4,1,1,4,3,1,1
4,47,3:36,8,-3,9,10,16,4,3,0,3,0,3,7,5,5,no,12,3,2,0,2,3,3,2
5,47,3:50,0,-5,4,7,20,0,0,21,3,0,0,4,15,6,no,13,4,0,3,3,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,3:35,9,-2,2,3,9,31,1,0,1,2,6,4,0,4,yes,7,2,7,0,2,1,2,1
2,51,5:25,9,0,1,0,25,9,0,7,2,0,3,6,3,6,no,13,4,3,1,3,2,3,0
3,45,5:21,0,-6,10,5,16,0,12,8,3,0,0,1,8,0,no,10,4,0,1,0,4,3,3
4,38,6:02,13,0,2,3,6,0,5,9,1,1,2,3,1,9,yes,4,1,0,2,4,4,5,0
5,33,5:20,0,-1,2,3,6,13,3,7,2,0,6,3,5,6,no,9,1,5,1,3,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,4:33,4,-3,10,20,9,0,13,8,4,1,2,13,10,1,no,8,2,0,1,1,6,3,0
2,60,7:00,17,0,7,7,18,0,0,11,2,0,0,14,12,10,no,11,4,0,2,4,3,3,0
3,54,4:09,5,-5,6,10,16,13,0,9,3,1,1,14,17,3,no,12,3,4,1,1,0,3,2
4,48,7:55,0,-3,7,5,18,1,6,14,3,0,0,5,15,3,no,10,3,1,1,2,2,3,3
5,46,5:19,13,0,0,3,8,13,3,6,1,1,3,9,1,6,yes,7,2,4,1,3,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,4:49,9,-3,8,10,24,0,3,7,3,0,0,12,18,6,yes,3,4,0,1,3,2,3,2
2,56,5:39,0,-3,1,3,0,55,0,0,2,2,5,14,4,2,no,14,0,9,1,1,1,3,1
3,55,4:31,5,-3,10,10,18,0,0,15,3,0,0,6,18,5,no,12,4,0,2,2,3,4,0
4,46,5:56,12,0,2,3,10,0,6,13,1,3,1,15,4,8,no,11,2,0,2,4,4,2,0
5,43,4:51,6,-1,3,10,6,16,3,0,3,0,3,4,7,8,yes,2,1,3,0,4,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,3:55,13,-1,5,5,17,0,3,22,3,0,2,12,12,8,no,10,4,0,2,3,3,2,1
2,59,7:39,1,-4,3,2,13,36,0,8,1,1,5,10,10,1,no,14,2,8,1,1,2,2,1
3,54,4:27,16,-1,4,15,12,0,8,0,3,0,1,6,8,10,yes,1,3,0,0,4,3,5,0
4,51,3:32,0,-3,1,7,17,26,3,0,3,0,2,6,6,2,no,13,3,6,0,1,1,3,1
5,41,4:57,9,-2,3,10,0,4,5,12,3,0,3,6,4,9,yes,2,0,1,2,4,5,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,7:16,13,-2,4,2,6,31,0,7,1,1,6,8,10,8,no,14,1,7,1,3,1,3,1
2,55,5:28,6,-3,3,3,13,25,3,5,3,1,4,8,9,4,no,9,3,4,1,2,1,3,2
3,54,4:32,18,0,10,7,19,0,0,0,2,2,1,10,21,11,no,11,3,0,0,4,3,2,2
4,44,5:47,3,-4,6,5,14,0,8,12,3,2,1,18,2,3,no,10,4,0,1,2,5,1,0
5,43,4:47,3,-4,2,15,3,0,4,20,3,0,1,10,12,7,yes,1,1,0,3,3,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,4:19,18,0,1,7,17,0,0,19,2,1,2,14,4,9,no,11,4,0,2,4,1,4,0
2,52,4:27,3,-5,8,5,21,0,11,9,3,0,0,11,12,2,no,10,4,0,1,1,4,2,3
