Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
,,,,,,,,,,,,,,,,,,,,,,,,,
4th (55),2:53,9,-2,1,3,13,16,6,9,3,0,2,20,10,4,no,9,3,3,1,3,2,1,3,
5th (46),4:35,0,-6,9,7,26,0,6,4,3,2,1,8,16,0,no,13,6,0,1,0,2,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),3:15,0,-6,0,3,12,55,0,0,3,3,7,10,0,0,no,14,3,9,1,0,0,2,0,#62135862
2nd (57),2:39,18,0,7,3,0,1,10,18,3,2,0,8,8,6,no,9,0,0,2,3,3,4,3,392
3rd (55),4:25,9,-2,3,7,29,0,3,6,3,1,1,14,12,4,no,13,6,0,1,3,2,2,0,
4th (54),3:08,17,0,4,7,6,1,4,15,2,0,2,17,14,10,no,11,1,1,2,4,4,4,0,
5th (51),3:21,0,-6,16,10,25,0,6,0,3,0,2,2,17,3,no,12,5,0,0,1,4,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),3:08,16,-2,8,10,22,0,3,7,3,0,2,18,13,9,no,12,4,0,1,4,2,4,0,#53062582
2nd (55),2:31,12,-2,5,0,8,28,4,0,0,1,5,2,10,6,no,14,1,7,0,3,1,3,2,391
3rd (52),5:01,10,-2,11,7,15,0,2,9,2,1,1,8,20,8,no,11,3,0,1,3,4,2,2,
4th (44),2:54,7,-3,2,5,16,0,3,14,2,0,2,10,4,8,no,10,4,0,2,4,3,1,2,
5th (43),3:42,0,-6,1,20,10,0,5,13,4,1,0,9,0,0,no,8,3,0,2,0,3,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (79),2:36,18,0,5,7,21,0,0,28,3,0,1,4,10,4,no,13,4,0,3,3,1,4,0,#52659073
2nd (62),3:25,0,-5,1,3,8,55,0,0,3,0,5,4,6,0,no,9,2,9,0,0,0,2,3,391
3rd (58),4:54,18,0,5,5,22,0,3,5,3,2,0,15,9,7,no,10,4,0,0,4,3,1,1,
4th (55),3:33,0,-6,11,20,0,0,15,15,4,0,2,9,14,0,no,8,0,0,2,0,6,5,1,
5th (47),3:50,8,-3,4,10,18,1,0,9,3,2,4,12,5,5,no,12,5,1,1,2,3,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),3:20,0,-6,8,10,9,0,6,32,3,0,1,9,16,0,no,12,2,0,4,0,3,6,0,#52658399
2nd (59),4:52,10,-2,5,3,7,26,3,7,3,1,1,17,6,2,no,14,1,6,1,2,4,2,1,391
3rd (53),2:49,14,-1,6,7,22,0,5,0,2,0,1,20,11,13,no,11,5,0,0,5,5,1,0,
4th (44),3:50,10,-2,3,0,9,21,3,0,1,1,5,8,7,5,no,13,2,6,0,3,2,2,1,
5th (35),4:27,8,-3,6,3,21,0,0,0,1,1,2,6,20,12,yes,3,4,0,0,5,1,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),2:48,3,-5,1,3,5,48,0,5,3,0,5,16,12,2,no,9,1,8,1,1,2,2,2,#66721293
2nd (53),2:47,11,-2,6,7,10,1,3,17,3,1,1,12,12,7,no,13,2,1,2,3,3,2,1,390
3rd (52),3:54,13,0,7,3,12,0,4,13,1,1,1,10,14,9,no,11,2,0,2,4,4,4,0,
4th (49),2:29,5,-2,6,10,26,0,4,0,3,0,3,16,10,9,no,12,5,0,0,4,4,1,1,
5th (46),3:39,3,-2,5,3,18,10,2,7,2,1,2,8,14,6,no,14,4,3,1,3,1,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),2:50,13,-1,1,7,25,0,2,13,3,0,0,12,9,4,no,13,5,0,2,3,3,2,0,#62777440
2nd (57),2:56,16,-2,6,10,18,0,3,6,3,0,1,14,18,10,yes,3,3,0,1,4,2,3,2,390
3rd (56),3:28,10,-2,7,10,14,0,10,7,3,0,2,18,9,4,no,12,4,0,1,2,5,2,1,
4th (56),5:09,6,-4,3,3,0,48,0,0,3,1,6,6,12,6,no,14,0,9,0,3,0,3,2,
5th (54),3:15,0,-6,4,3,6,38,0,9,3,1,2,10,12,0,no,9,1,6,2,0,3,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),2:48,0,-4,1,3,2,48,0,10,3,0,6,18,4,3,no,9,1,8,1,1,3,1,1,#51556533
2nd (55),3:06,11,-1,7,10,14,0,8,6,3,0,0,6,12,7,yes,4,3,0,1,3,3,5,0,390
3rd (55),3:27,4,-3,3,2,30,0,4,15,1,1,1,16,1,3,no,14,6,0,2,2,3,4,0,
4th (48),2:09,10,-1,9,5,12,0,9,4,3,1,0,5,14,7,no,10,2,0,0,4,3,2,3,
5th (46),2:30,10,-2,5,15,11,0,0,7,3,1,0,4,18,6,yes,1,3,0,1,2,2,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
