Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
2,58,4:34,7,-2,2,3,18,25,0,5,3,0,3,8,8,5,no,9,3,4,1,3,2,2,2,452
3,52,3:15,0,-5,7,10,12,0,12,16,3,0,1,10,12,2,yes,3,3,0,2,1,4,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,7:35,13,-1,3,10,8,25,0,0,3,1,4,18,10,9,no,12,1,6,0,4,2,1,0,#62660814
2,48,4:33,11,-1,2,7,24,0,3,2,3,1,3,10,6,5,no,13,5,0,1,3,3,2,0,452
3,46,3:50,0,-4,8,7,19,0,0,16,2,2,3,6,18,3,no,11,5,0,2,1,0,5,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65,3:17,16,0,2,3,22,0,3,19,3,0,1,12,14,5,no,14,5,0,3,3,1,5,1,#62660458
2,55,4:34,0,-3,2,3,19,31,3,0,3,1,6,11,8,1,no,9,4,6,0,1,3,1,1,452
3,41,5:18,5,-2,4,7,9,9,3,6,3,2,1,10,11,4,no,13,2,3,1,2,1,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,75,5:50,12,-2,1,3,10,48,3,0,3,0,8,24,12,5,no,9,2,8,0,3,2,1,1,#62660013
2,59,6:58,15,-1,7,10,10,0,3,15,3,0,1,16,21,7,no,12,2,0,2,4,3,3,1,452
3,50,3:23,0,-6,3,15,25,0,0,13,3,1,2,9,16,0,yes,1,5,0,2,0,2,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60,3:57,0,-6,10,10,23,13,3,7,3,0,2,9,21,0,no,12,4,4,1,0,2,2,2,#61038480
2,54,3:32,9,-2,6,3,17,0,8,13,1,1,3,8,12,4,no,11,4,0,2,2,4,4,0,451
3,54,5:01,17,0,0,5,13,0,0,19,3,2,1,18,2,8,no,10,3,0,2,4,3,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,4:45,3,-5,7,5,24,16,0,0,2,0,7,8,18,5,no,12,5,3,1,2,2,3,0,#56643657
2,50,3:00,12,-1,1,3,21,1,6,7,2,1,3,10,4,6,no,14,5,1,1,4,3,3,0,450
3,47,5:52,11,-2,4,3,6,13,3,9,3,0,2,12,8,7,no,9,1,3,2,3,3,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,5:09,17,0,8,7,0,0,6,25,2,2,1,11,8,8,no,11,0,0,3,3,6,2,0,#62659565
2,56,7:08,9,-2,4,3,27,2,6,7,2,0,1,8,12,2,no,14,5,2,1,2,2,4,2,449
3,54,3:18,0,-6,0,3,18,31,0,8,1,0,2,8,7,0,no,8,4,7,1,0,1,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65,2:17,18,0,8,7,24,0,8,0,2,0,2,14,11,9,no,11,4,0,0,4,6,2,0,#56644637
2,49,3:03,3,-4,0,7,14,16,0,13,3,1,3,12,9,4,no,13,3,4,2,2,0,3,0,449
3,43,6:30,1,-4,1,3,11,25,0,6,2,0,3,3,9,4,no,14,3,4,2,2,2,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,5:04,0,-6,9,10,17,0,7,16,3,0,2,12,8,0,no,12,4,0,2,0,4,3,2,#56644244
2,51,2:19,12,-2,2,3,20,16,0,0,1,2,5,12,10,8,no,8,4,4,0,4,1,2,0,449
3,49,5:10,15,-1,4,10,12,0,1,8,3,1,3,4,10,10,yes,3,2,0,1,5,4,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60,5:04,4,-3,1,3,12,31,4,8,3,0,5,13,12,1,no,9,3,6,1,1,4,2,0,#60750270
2,58,4:36,12,-1,5,5,24,0,2,11,3,1,1,10,20,5,no,10,4,0,1,3,1,2,3,448
3,48,4:42,10,-4,1,3,10,21,0,7,3,2,4,12,3,6,no,14,2,6,1,3,1,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,3:34,8,0,3,7,21,0,0,15,3,0,2,2,9,6,no,13,5,0,3,3,1,3,0,#65581526
2,52,3:57,8,0,6,10,11,0,11,6,3,0,1,12,7,6,yes,3,2,0,1,3,5,3,1,447
3,46,5:20,0,-4,1,3,21,25,0,0,3,2,2,8,6,1,no,14,4,6,0,1,2,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,6:22,17,-1,7,7,17,5,6,0,2,0,3,10,19,7,no,11,3,3,0,3,1,6,0,#63441462
